City,Region,Country,Latitude,Longitude,TimeZone,LocalTimeEpoch,LocalTime,LastUpdatedEpoch,LastUpdated,Temperature_C,Temperature_F,IsDay,ConditionText,ConditionIcon,WindMPH,WindKPH,WindDegree,WindDir,PressureMB,PressureIn,PrecipMM,PrecipIn,Humidity,Cloud,FeelsLike_C,FeelsLike_F,VisibilityKM,VisibilityMiles,UV,GustMPH,GustKPH
Balsta,Uppsala Lan,Sweden,59.58,17.5,Europe/Stockholm,1723294441,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.6,65.4,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.0,24.1,250,WSW,1002.0,29.58,0.37,0.01,63,82,18.6,65.4,9.0,5.0,4.0,20.7,33.4
Billdal,Vastra Gotaland,Sweden,57.57,11.93,Europe/Stockholm,1723294442,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.1,64.5,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,20.1,32.4,258,WSW,1009.0,29.81,0.4,0.02,70,89,18.1,64.5,9.0,5.0,4.0,23.8,38.3
Bjarred,Skane Lan,Sweden,55.72,13.02,Europe/Stockholm,1723294442,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.6,69.1,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,20.1,32.4,270,W,1013.0,29.93,0.09,0.0,57,57,20.6,69.1,10.0,6.0,5.0,25.5,41.1
Boden,Norrbottens Lan,Sweden,65.83,21.7,Europe/Stockholm,1723294442,2024-08-10 14:54,1723293900,2024-08-10 14:45,15.5,59.8,1,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,8.7,14.0,130,SE,994.0,29.36,2.62,0.1,94,100,15.5,59.8,7.0,4.0,4.0,12.5,20.1
Bollnas,Gavleborgs Lan,Sweden,61.35,16.37,Europe/Stockholm,1723294442,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.4,67.0,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,10.5,16.9,244,WSW,998.0,29.46,0.01,0.0,46,73,19.4,67.0,10.0,6.0,4.0,12.1,19.5
Bodø Airport,Bodø,Norway,67.27,14.37,Europe/Oslo,1723294443,2024-08-10 14:54,1723293900,2024-08-10 14:45,13.9,57.0,1,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,8.9,14.4,250,WSW,994.0,29.36,0.33,0.01,93,100,12.8,55.0,2.0,1.0,3.0,12.6,20.3
Boras,Vastra Gotaland,Sweden,57.72,12.92,Europe/Stockholm,1723294443,2024-08-10 14:54,1723293900,2024-08-10 14:45,17.4,63.4,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.2,24.5,256,WSW,1009.0,29.79,0.56,0.02,71,79,17.4,63.4,9.0,5.0,4.0,18.6,29.9
Borlange,Dalarnas Lan,Sweden,60.48,15.42,Europe/Stockholm,1723294442,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.7,65.7,1,Patchy light drizzle,//cdn.weatherapi.com/weather/64x64/day/263.png,11.0,17.6,257,WSW,999.0,29.51,0.23,0.01,52,70,18.7,65.7,5.0,3.0,4.0,14.0,22.6
Brevik,Telemark,Norway,59.07,9.7,Europe/Oslo,1723294442,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.0,66.3,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,14.3,23.0,264,W,1005.0,29.67,0.03,0.0,52,66,19.0,66.3,10.0,6.0,4.0,16.5,26.5
Bunkeflostrand,Skane Lan,Sweden,55.53,12.95,Europe/Stockholm,1723294442,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.5,68.9,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,21.0,33.8,266,W,1014.0,29.93,0.07,0.0,58,53,20.5,68.9,10.0,6.0,5.0,27.8,44.8
Ekero,Southern Finland,Finland,60.03,23.53,Europe/Helsinki,1723294442,2024-08-10 15:54,1723293900,2024-08-10 15:45,18.1,64.6,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,24.4,39.2,257,WSW,1002.0,29.59,0.18,0.01,70,71,18.1,64.6,10.0,6.0,4.0,33.5,53.9
Eksjo,Jonkopings Lan,Sweden,57.67,14.95,Europe/Stockholm,1723294444,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.3,66.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.1,25.9,258,WSW,1008.0,29.76,0.01,0.0,50,82,19.3,66.8,10.0,6.0,4.0,18.5,29.8
Enkoping,Uppsala Lan,Sweden,59.63,17.07,Europe/Stockholm,1723294443,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.6,65.4,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.1,25.9,245,WSW,1002.0,29.58,0.26,0.01,63,77,18.6,65.4,9.0,5.0,4.0,22.8,36.7
Eskilstuna,Sodermanlands Lan,Sweden,59.37,16.5,Europe/Stockholm,1723294444,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.5,68.9,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.0,27.4,246,WSW,1002.0,29.6,0.03,0.0,54,85,20.5,68.9,10.0,6.0,5.0,19.6,31.5
Eslov,Skane Lan,Sweden,55.83,13.33,Europe/Stockholm,1723294444,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.0,68.0,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,18.1,29.2,271,W,1013.0,29.92,0.22,0.01,59,86,20.0,68.0,9.0,5.0,4.0,22.2,35.7
Fagersta,Vastmanlands Lan,Sweden,60.0,15.78,Europe/Stockholm,1723294444,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.9,69.7,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,14.8,23.8,253,WSW,1000.0,29.53,0.0,0.0,43,46,20.9,69.7,10.0,6.0,6.0,17.0,27.3
Falkenberg,Hallands Lan,Sweden,56.9,12.5,Europe/Stockholm,1723294444,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.9,66.0,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,19.0,30.6,263,W,1011.0,29.87,0.26,0.01,65,80,18.9,66.0,9.0,5.0,4.0,22.9,36.8
Falkoping,Vastra Gotaland,Sweden,58.17,13.55,Europe/Stockholm,1723294444,2024-08-10 14:54,1723293900,2024-08-10 14:45,16.6,61.9,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.3,26.3,249,WSW,1007.0,29.75,0.38,0.01,74,73,16.6,61.9,9.0,5.0,4.0,19.6,31.6
Falun,Dalarnas Lan,Sweden,60.6,15.63,Europe/Stockholm,1723294445,2024-08-10 14:54,1723293900,2024-08-10 14:45,17.7,63.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,10.5,16.9,255,WSW,999.0,29.51,0.08,0.0,57,71,17.7,63.8,10.0,6.0,4.0,14.6,23.5
Filipstad,Varmlands Lan,Sweden,59.72,14.17,Europe/Stockholm,1723294445,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.3,65.0,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,15.7,25.2,254,WSW,1002.0,29.58,0.17,0.01,54,59,18.3,65.0,10.0,6.0,4.0,18.0,29.0
Finspang,Ostergotlands Lan,Sweden,58.72,15.78,Europe/Stockholm,1723294445,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.6,67.3,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,14.3,23.0,253,WSW,1005.0,29.68,0.28,0.01,59,88,19.6,67.3,9.0,5.0,4.0,16.9,27.3
Gagnef,Dalarnas Lan,Sweden,60.58,15.07,Europe/Stockholm,1723294445,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.2,64.8,1,Patchy light rain in area with thunder,//cdn.weatherapi.com/weather/64x64/day/386.png,11.4,18.4,255,WSW,999.0,29.5,0.2,0.01,54,83,18.2,64.8,10.0,6.0,4.0,13.8,22.2
Gavle,Gavleborgs Lan,Sweden,60.67,17.17,Europe/Stockholm,1723294445,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.2,64.7,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,8.1,13.0,239,WSW,999.0,29.51,0.0,0.0,52,29,18.2,64.7,10.0,6.0,5.0,12.1,19.5
Gislaved,Jonkopings Lan,Sweden,57.3,13.53,Europe/Stockholm,1723294447,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.8,65.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.3,26.3,256,WSW,1010.0,29.82,0.16,0.01,58,73,18.8,65.8,9.0,5.0,4.0,18.8,30.2
Gothenburg,Vastra Gotaland,Sweden,57.72,11.97,Europe/Stockholm,1723294446,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.0,64.5,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,20.1,32.4,258,WSW,1009.0,29.8,0.39,0.02,71,74,18.0,64.5,9.0,5.0,4.0,23.8,38.3
Gustavsberg,Hallands Lan,Sweden,56.97,13.1,Europe/Stockholm,1723294446,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.8,65.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.4,28.1,260,W,1012.0,29.88,0.14,0.01,65,78,18.8,65.8,10.0,6.0,4.0,21.0,33.8
Haboudange,Lorraine,France,48.88,6.62,Europe/Paris,1723294446,2024-08-10 14:54,1723293900,2024-08-10 14:45,26.2,79.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,6.7,10.8,277,W,1021.0,30.16,0.0,0.0,54,4,27.1,80.7,10.0,6.0,7.0,7.7,12.4
Hagfors,Varmlands Lan,Sweden,60.03,13.65,Europe/Stockholm,1723294447,2024-08-10 14:54,1723293900,2024-08-10 14:45,17.6,63.6,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,13.6,22.0,246,WSW,1001.0,29.56,0.0,0.0,57,45,17.6,63.6,10.0,6.0,5.0,16.5,26.6
Hallstahammar,Vastmanlands Lan,Sweden,59.62,16.22,Europe/Stockholm,1723294447,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.9,69.6,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.7,25.2,243,WSW,1001.0,29.57,0.01,0.0,48,77,20.9,69.5,10.0,6.0,5.0,18.0,29.0
Halmstad,Hallands Lan,Sweden,56.67,12.86,Europe/Stockholm,1723294447,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.8,65.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.4,28.1,260,W,1012.0,29.88,0.14,0.01,65,78,18.8,65.8,10.0,6.0,4.0,21.0,33.8
Harnosand,Vasternorrlands Lan,Sweden,62.64,17.94,Europe/Stockholm,1723294446,2024-08-10 14:54,1723293900,2024-08-10 14:45,15.5,59.9,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,17.2,27.7,284,WNW,996.0,29.43,0.0,0.0,64,52,15.5,59.9,10.0,6.0,5.0,21.8,35.1
Hassleholm,Skane Lan,Sweden,56.15,13.77,Europe/Stockholm,1723294448,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.4,66.9,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.4,24.8,266,W,1013.0,29.9,0.26,0.01,64,77,19.4,66.9,10.0,6.0,4.0,18.3,29.4
Helsingborg,Skane Lan,Sweden,56.05,12.7,Europe/Copenhagen,1723294447,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.6,67.3,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,22.6,36.4,265,W,1013.0,29.92,0.09,0.0,62,82,19.6,67.3,10.0,6.0,4.0,28.1,45.2
Hoganas,Skane Lan,Sweden,56.2,12.55,Europe/Stockholm,1723294448,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.9,66.0,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,23.7,38.2,254,WSW,1013.0,29.91,0.13,0.01,68,71,18.9,66.0,10.0,6.0,4.0,31.6,50.8
Hollviken,Skane Lan,Sweden,55.42,12.95,Europe/Stockholm,1723294448,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.5,68.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,22.1,35.6,260,W,1014.0,29.94,0.04,0.0,59,51,20.5,68.8,10.0,6.0,5.0,29.5,47.5
Hudiksvall,Gavleborgs Lan,Sweden,61.73,17.11,Europe/Stockholm,1723294448,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.0,64.4,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,8.1,13.0,264,W,997.0,29.46,0.03,0.0,59,51,18.0,64.4,10.0,6.0,4.0,10.6,17.1
Huskvarna,Jonkopings Lan,Sweden,57.8,14.27,Europe/Stockholm,1723294449,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.1,64.7,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.4,28.1,254,WSW,1008.0,29.77,0.07,0.0,57,78,18.1,64.7,10.0,6.0,4.0,20.1,32.3
Jonkoping,Jonkopings Lan,Sweden,57.78,14.18,Europe/Stockholm,1723294448,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.1,64.7,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.4,28.1,254,WSW,1008.0,29.77,0.07,0.0,57,78,18.1,64.7,10.0,6.0,4.0,20.1,32.3
Jordbro,Stockholms Lan,Sweden,59.15,18.12,Europe/Stockholm,1723294448,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.8,69.4,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.6,26.6,260,W,1003.0,29.61,0.02,0.0,48,88,20.8,69.4,10.0,6.0,5.0,19.0,30.6
Kalmar,Kalmar Lan,Sweden,56.67,16.37,Europe/Stockholm,1723294449,2024-08-10 14:54,1723293900,2024-08-10 14:45,21.6,71.0,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,17.4,28.1,261,W,1010.0,29.82,0.0,0.0,46,98,21.7,71.0,10.0,6.0,5.0,20.2,32.6
Karlshamn,Blekinge Lan,Sweden,56.17,14.85,Europe/Stockholm,1723294449,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.3,68.5,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.9,28.8,266,W,1012.0,29.88,0.17,0.01,59,82,20.3,68.5,9.0,5.0,5.0,21.3,34.2
Karlskoga,Orebro Lan,Sweden,59.33,14.52,Europe/Stockholm,1723294450,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.3,64.9,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.1,25.9,247,WSW,1003.0,29.62,0.45,0.02,65,81,18.3,64.9,9.0,5.0,4.0,19.4,31.2
Karlskrona,Blekinge Lan,Sweden,56.17,15.58,Europe/Stockholm,1723294449,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.3,68.6,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,18.6,29.9,260,W,1012.0,29.87,0.21,0.01,59,71,20.3,68.6,9.0,5.0,5.0,23.8,38.3
Karlstad,Varmlands Lan,Sweden,59.37,13.5,Europe/Stockholm,1723294450,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.9,66.0,1,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,20.1,32.4,254,WSW,1003.0,29.62,0.2,0.01,58,75,18.9,66.0,2.0,1.0,4.0,26.4,42.5
Katrineholm,Sodermanlands Lan,Sweden,59.0,16.2,Europe/Stockholm,1723294449,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.3,68.6,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,16.6,26.6,253,WSW,1004.0,29.65,0.0,0.0,51,28,20.3,68.6,10.0,6.0,6.0,19.0,30.6
Kavlinge,Skane Lan,Sweden,55.8,13.1,Europe/Stockholm,1723294449,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.4,68.7,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,19.5,31.3,272,W,1013.0,29.92,0.15,0.01,58,55,20.4,68.7,10.0,6.0,5.0,24.0,38.6
Kinna,Vastra Gotaland,Sweden,57.5,12.68,Europe/Stockholm,1723294450,2024-08-10 14:54,1723293900,2024-08-10 14:45,17.4,63.2,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.7,25.2,256,WSW,1009.0,29.8,0.46,0.02,69,86,17.4,63.2,9.0,5.0,4.0,18.7,30.2
Kiruna,Norrbottens Lan,Sweden,67.85,20.22,Europe/Stockholm,1723294450,2024-08-10 14:54,1723293900,2024-08-10 14:45,13.1,55.5,1,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,3.8,6.1,107,ESE,997.0,29.45,0.58,0.02,97,100,13.0,55.3,2.0,1.0,3.0,5.7,9.2
Klippansbruk,Skane Lan,Sweden,56.12,13.15,Europe/Stockholm,1723294450,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.3,66.7,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.2,27.7,265,W,1013.0,29.91,0.32,0.01,65,70,19.3,66.7,9.0,5.0,4.0,20.4,32.8
Koping,Vastmanlands Lan,Sweden,59.52,16.0,Europe/Stockholm,1723294450,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.8,69.5,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,16.3,26.3,241,WSW,1002.0,29.58,0.0,0.0,51,58,20.8,69.5,10.0,6.0,6.0,18.8,30.2
Kristianstad,Skane Lan,Sweden,56.03,14.13,Europe/Stockholm,1723294450,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.5,68.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,18.8,30.2,268,W,1013.0,29.91,0.05,0.0,58,89,20.5,68.8,10.0,6.0,5.0,21.7,34.8
Kristinehamn,Varmlands Lan,Sweden,59.33,14.12,Europe/Stockholm,1723294451,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.5,65.3,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,19.0,30.6,249,WSW,1003.0,29.63,0.43,0.02,64,86,18.5,65.2,9.0,5.0,4.0,22.9,36.8
Kumla,Orebro Lan,Sweden,59.13,15.13,Europe/Stockholm,1723294451,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.5,65.2,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.7,25.2,251,WSW,1004.0,29.65,0.45,0.02,67,76,18.5,65.2,9.0,5.0,4.0,18.8,30.3
Kungalv,Vastra Gotaland,Sweden,57.87,11.97,Europe/Stockholm,1723294451,2024-08-10 14:54,1723293900,2024-08-10 14:45,17.6,63.7,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,19.2,31.0,255,WSW,1009.0,29.79,0.42,0.02,74,87,17.6,63.7,9.0,5.0,4.0,23.1,37.2
Kungsangen,Stockholms Lan,Sweden,59.48,17.75,Europe/Stockholm,1723294451,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.0,66.3,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.1,25.9,256,WSW,1002.0,29.6,0.47,0.02,62,86,19.0,66.3,9.0,5.0,4.0,21.2,34.1
Kungsbacka,Hallands Lan,Sweden,57.48,12.07,Europe/Stockholm,1723294451,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.1,64.7,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,21.5,34.6,259,W,1010.0,29.82,0.34,0.01,70,80,18.1,64.7,10.0,6.0,4.0,25.2,40.6
Landskrona,Skane Lan,Sweden,55.87,12.83,Europe/Stockholm,1723294452,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.0,68.0,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,20.6,33.1,271,W,1013.0,29.92,0.13,0.01,60,86,20.0,68.0,10.0,6.0,5.0,27.1,43.6
Lerum,Vastra Gotaland,Sweden,57.77,12.27,Europe/Stockholm,1723294452,2024-08-10 14:54,1723293900,2024-08-10 14:45,17.8,64.1,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.1,25.9,256,WSW,1009.0,29.8,0.36,0.01,69,71,17.9,64.1,9.0,5.0,4.0,19.0,30.6
Lidingo,Stockholms Lan,Sweden,59.37,18.13,Europe/Stockholm,1723294452,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.8,67.7,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,15.9,25.6,259,W,1002.0,29.6,0.17,0.01,55,51,19.8,67.7,10.0,6.0,4.0,19.8,31.9
Lidkoping,Vastra Gotaland,Sweden,58.5,13.17,Europe/Stockholm,1723294452,2024-08-10 14:54,1723293900,2024-08-10 14:45,17.7,63.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,18.8,30.2,246,WSW,1007.0,29.73,0.23,0.01,69,87,17.7,63.8,9.0,5.0,4.0,22.2,35.7
Lindesberg,Orebro Lan,Sweden,59.58,15.25,Europe/Stockholm,1723294452,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.2,68.4,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.4,24.8,241,WSW,1002.0,29.58,0.18,0.01,52,75,20.3,68.5,9.0,5.0,5.0,17.8,28.6
Lindome,Hallands Lan,Sweden,57.57,12.08,Europe/Stockholm,1723294452,2024-08-10 14:54,1723293900,2024-08-10 14:45,18.1,64.7,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,21.5,34.6,259,W,1010.0,29.82,0.34,0.01,70,80,18.1,64.7,10.0,6.0,4.0,25.2,40.6
Linkoping,Ostergotlands Lan,Sweden,58.42,15.62,Europe/Stockholm,1723294453,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.6,67.2,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.2,27.7,255,WSW,1006.0,29.7,0.16,0.01,57,79,19.6,67.2,9.0,5.0,4.0,20.0,32.2
Ljungby,Kronobergs Lan,Sweden,56.83,13.93,Europe/Stockholm,1723294453,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.0,66.2,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.9,28.8,261,W,1011.0,29.85,0.1,0.0,58,75,19.0,66.2,10.0,6.0,4.0,20.6,33.1
Lomma,Skane Lan,Sweden,55.68,13.08,Europe/Stockholm,1723294453,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.6,69.1,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,20.1,32.4,270,W,1013.0,29.93,0.09,0.0,57,57,20.6,69.1,10.0,6.0,5.0,25.5,41.1
